,time_crawled,code,vaccinationsTotal,peopleFirstTotal,peopleFullTotal
85,2021-08-06 21:46:02,DE-HE,7050287,3898534,3326019
86,2021-08-06 21:46:02,DE-HH,2085280,1191414,950922
87,2021-08-06 21:46:02,DE-MV,1796475,971459,868135
88,2021-08-06 21:46:02,DE-NI,9223118,5205346,4332606
89,2021-08-06 21:46:02,DE-NW,21182692,11769801,10014779
90,2021-08-06 21:46:02,DE-RP,4725648,2602158,2239912
91,2021-08-06 21:46:02,DE-SH,3500234,1931280,1668654
92,2021-08-06 21:46:02,DE-SL,1218665,675443,574506
93,2021-08-06 21:46:02,DE-SN,4038977,2144672,1972322
94,2021-08-06 21:46:02,DE-ST,2338109,1268195,1145040
95,2021-08-06 21:46:02,DE-TH,2256778,1193546,1111577
96,2021-08-07 21:46:01,DE-BB,2625694,1424310,1277445
97,2021-08-07 21:46:01,DE-BE,4138009,2264200,1961500
98,2021-08-07 21:46:01,DE-BW,12522125,6702058,6134566
99,2021-08-07 21:46:01,DE-BY,14488980,7871804,6947335
100,2021-08-07 21:46:01,DE-HB,892641,485890,437162
101,2021-08-07 21:46:01,DE-HE,7078326,3904998,3348471
102,2021-08-07 21:46:01,DE-HH,2099171,1195324,961236
103,2021-08-07 21:46:01,DE-MV,1805339,973782,875109
104,2021-08-07 21:46:01,DE-NI,9266580,5214478,4368720
105,2021-08-07 21:46:01,DE-NW,21264228,11787268,10080241
106,2021-08-07 21:46:01,DE-RP,4747498,2606660,2257680
107,2021-08-07 21:46:01,DE-SH,3518320,1936256,1682218
108,2021-08-07 21:46:01,DE-SL,1224601,676773,579430
109,2021-08-07 21:46:01,DE-SN,4049159,2148211,1979422
110,2021-08-07 21:46:01,DE-ST,2348151,1270269,1153507
111,2021-08-07 21:46:01,DE-TH,2261976,1195180,1115493
112,2021-08-08 21:46:02,DE-BB,2625694,1424310,1277445
113,2021-08-08 21:46:02,DE-BE,4138009,2264200,1961500
114,2021-08-08 21:46:02,DE-BW,12522125,6702058,6134566
115,2021-08-08 21:46:02,DE-BY,14488980,7871804,6947335
116,2021-08-08 21:46:02,DE-HB,892641,485890,437162
117,2021-08-08 21:46:02,DE-HE,7078326,3904998,3348471
118,2021-08-08 21:46:02,DE-HH,2099171,1195324,961236
119,2021-08-08 21:46:02,DE-MV,1805339,973782,875109
120,2021-08-08 21:46:02,DE-NI,9266580,5214478,4368720
121,2021-08-08 21:46:02,DE-NW,21264228,11787268,10080241
122,2021-08-08 21:46:02,DE-RP,4747498,2606660,2257680
123,2021-08-08 21:46:02,DE-SH,3518320,1936256,1682218
124,2021-08-08 21:46:02,DE-SL,1224601,676773,579430
125,2021-08-08 21:46:02,DE-SN,4049159,2148211,1979422
126,2021-08-08 21:46:02,DE-ST,2348151,1270269,1153507
127,2021-08-08 21:46:02,DE-TH,2261976,1195180,1115493
128,2021-08-09 21:46:02,DE-BB,2629348,1425524,1280133
129,2021-08-09 21:46:02,DE-BE,4157278,2268757,1976593
